Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,231,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,317,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,352,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,6,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,16,1,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,..,1,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,117,2,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,112,2,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,157,3,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,174,3,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,191,4,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,205,4,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,363,5,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,310,5,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,..,1,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,..,1,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,72,2,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,89,2,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,93,3,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,149,3,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,123,4,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,163,4,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,187,5,1
